Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,89.91,89.91,89.91,89.91,000,88.6414
2015-12-30,91.25,91.25,89.73,89.91,404300,88.6414
2015-12-29,89.79,91.51,89.52,91.51,598900,90.2189
2015-12-28,89.97,90.17,88.57,89.09,377100,87.833
2015-12-25,90.18,90.18,90.18,90.18,000,88.9076
2015-12-24,90.18,90.18,90.18,90.18,000,88.9076
2015-12-23,90.00,90.65,89.16,90.18,636300,88.9076
2015-12-22,88.31,88.88,87.12,88.07,693100,86.8274
2015-12-21,88.62,90.14,87.47,87.47,673700,86.2359
2015-12-18,90.57,90.72,88.26,89.03,2183500,87.7738
2015-12-17,90.20,91.43,89.76,91.05,1007400,89.7653
2015-12-16,88.95,89.83,88.65,89.17,674400,87.9119
2015-12-15,86.72,89.55,86.63,88.81,998700,87.5569
2015-12-14,86.57,87.27,85.77,85.93,906900,84.7176
2015-12-11,87.57,87.71,85.85,86.55,953900,85.3288
2015-12-10,87.65,88.07,86.77,87.60,1056600,86.364
2015-12-09,91.59,92.11,87.86,88.41,1467300,87.1626
2015-12-08,92.92,93.88,90.49,91.20,852900,89.9132
2015-12-07,91.70,93.20,91.40,92.81,664300,91.5005
2015-12-04,90.50,91.61,89.88,90.91,1231800,89.6273
2015-12-03,92.91,93.76,90.15,90.50,1862900,89.2231
2015-12-02,93.25,94.50,92.98,93.41,1285500,92.092
2015-12-01,92.00,93.45,91.88,92.91,1370700,91.5991
2015-11-30,89.52,91.59,89.10,91.59,1093400,90.2977
2015-11-27,89.76,89.94,89.12,89.47,573800,88.2076
2015-11-26,89.85,90.50,89.46,90.32,630500,89.0456
2015-11-25,87.42,89.80,87.25,89.80,658900,88.533
2015-11-24,89.49,89.65,86.57,87.57,1159800,86.3344
2015-11-23,88.08,89.78,88.08,89.38,848600,88.1189
2015-11-20,87.69,88.47,87.68,88.09,1005200,86.8471
2015-11-19,87.74,88.37,87.31,87.69,938800,86.4528
2015-11-18,86.15,87.13,85.84,86.91,674100,85.6838
2015-11-17,85.81,87.25,85.76,86.48,1038900,85.2598
2015-11-16,84.50,85.87,83.54,85.82,1136200,84.6091
2015-11-13,86.41,87.12,85.13,85.75,1018000,84.5401
2015-11-12,88.39,89.39,85.76,86.66,1858400,85.4373
2015-11-11,89.49,91.48,89.05,89.78,1628000,88.5133
2015-11-10,87.16,88.39,86.61,88.20,1126800,86.9556
2015-11-09,87.24,87.96,86.15,86.75,950700,85.526
2015-11-06,87.39,89.03,87.31,88.01,1600000,86.7682
2015-11-05,84.50,89.77,84.50,89.21,5470000,87.9513
2015-11-04,82.00,82.65,81.05,82.14,1064300,80.9811
2015-11-03,80.65,81.27,79.62,81.20,1038800,80.0543
2015-11-02,81.00,81.84,80.56,80.80,1325300,79.66
2015-10-30,82.36,82.81,81.29,81.55,1210600,80.3994
2015-10-29,83.17,83.49,82.06,82.27,1136300,81.1092
2015-10-28,81.84,83.32,81.80,83.20,1100500,82.0261
2015-10-27,81.60,82.13,81.40,81.79,963500,80.636
2015-10-26,81.50,82.14,81.07,81.82,866200,80.6656
2015-10-23,80.10,82.08,80.02,81.41,1831500,80.2614
2015-10-22,78.50,80.15,78.28,80.15,1516200,79.0191
2015-10-21,77.48,79.37,77.23,78.91,1502800,77.7966
2015-10-20,76.77,77.58,76.45,77.06,926900,75.9727
2015-10-19,76.18,77.22,76.08,76.75,893800,75.6671
2015-10-16,77.33,77.49,76.07,76.65,1575600,75.5685
2015-10-15,76.30,77.84,75.68,77.12,1910000,76.0319
2015-10-14,75.14,76.32,74.60,76.10,1277800,75.0263
2015-10-13,75.54,75.59,74.38,75.31,953600,74.2474
2015-10-12,76.50,76.50,75.34,75.80,742100,74.7305
2015-10-09,75.80,76.47,75.69,76.30,1114900,75.2235
2015-10-08,74.54,75.66,74.19,75.23,952000,74.1686
2015-10-07,74.80,75.90,74.31,74.66,1121400,73.6066
2015-10-06,73.77,75.82,73.52,74.56,1314600,73.508
2015-10-05,73.00,74.16,72.72,73.46,1144900,72.4235
2015-10-02,72.12,72.74,70.82,71.80,1032300,70.787
2015-10-01,72.86,73.08,71.31,71.70,940500,70.6884
2015-09-30,71.59,72.72,71.31,72.01,967600,70.994
2015-09-29,70.10,71.29,69.91,70.58,853900,69.5842
2015-09-28,71.25,71.64,70.77,70.88,897400,69.8799
2015-09-25,70.10,71.57,70.00,71.38,1443400,70.3729
2015-09-24,69.44,69.79,67.83,68.54,1054800,67.5729
2015-09-23,69.03,69.76,68.77,69.27,919100,68.2926
2015-09-22,70.83,71.08,69.26,69.40,1248900,68.4208
2015-09-21,69.94,71.21,69.65,70.79,973600,69.7912
2015-09-18,70.00,71.43,69.62,70.17,3300200,69.1799
2015-09-17,67.24,70.45,66.86,69.33,2504800,68.3518
2015-09-16,66.03,67.17,65.92,66.88,1303800,65.9364
2015-09-15,65.99,66.18,64.90,65.43,888100,64.5068
2015-09-14,65.60,66.39,65.16,65.77,536400,64.842
2015-09-11,65.87,66.02,65.13,65.61,549600,64.6843
2015-09-10,65.99,66.42,65.43,65.72,569900,64.7927
2015-09-09,67.64,67.70,66.04,66.24,590500,65.3054
2015-09-08,65.91,67.00,65.64,66.41,688500,65.473
2015-09-07,65.64,66.12,65.35,65.55,377500,64.6251
2015-09-04,66.55,66.73,64.85,65.18,1084500,64.2604
2015-09-03,66.28,67.70,66.03,67.28,831600,66.3307
2015-09-02,65.44,66.16,64.96,65.73,782400,64.8026
2015-09-01,65.73,65.95,64.65,65.37,932200,64.4477
2015-08-31,66.67,67.05,66.11,66.72,535600,65.7786
2015-08-28,67.00,67.41,66.19,66.99,657000,66.0448
2015-08-27,66.83,67.55,66.37,66.98,1007800,66.035
2015-08-26,64.70,66.32,64.45,65.04,1005700,64.1223
2015-08-25,64.53,65.99,64.04,65.65,1822600,64.7237
2015-08-24,63.69,65.08,62.51,63.68,3138100,62.7815
2015-08-21,65.40,67.17,65.21,65.48,1768900,64.5561
2015-08-20,67.03,67.66,66.08,66.31,1242600,65.3744
2015-08-19,67.50,68.49,67.37,67.40,940600,66.449
2015-08-18,68.29,68.39,67.70,67.86,703600,66.9025
2015-08-17,69.31,69.60,67.78,68.40,619200,67.4349
2015-08-14,69.42,69.80,68.50,68.89,526900,67.918
2015-08-13,69.52,69.90,68.84,69.24,866800,68.2631
2015-08-12,70.58,70.99,68.30,68.67,1422300,67.7011
2015-08-11,73.74,73.77,71.12,71.33,1349200,70.3236
2015-08-10,73.78,74.26,72.86,74.03,542200,72.9855
2015-08-07,73.69,74.19,73.11,73.48,684100,72.4432
2015-08-06,75.00,76.41,73.29,73.48,1472400,72.4432
2015-08-05,74.20,74.52,73.60,74.48,818300,73.4291
2015-08-04,74.08,74.39,73.52,74.16,618200,73.1137
2015-08-03,74.47,75.00,74.11,74.35,636500,73.301
2015-07-31,73.99,74.62,73.46,74.47,728200,73.4193
2015-07-30,72.19,75.00,72.17,73.94,1664700,72.8968
2015-07-29,71.73,72.12,70.96,72.03,696500,71.0137
2015-07-28,70.40,71.50,70.00,71.24,711000,70.2348
2015-07-27,71.28,71.33,70.00,70.14,1019700,69.1504
2015-07-24,71.73,72.30,71.46,71.46,761900,70.4517
2015-07-23,71.76,72.12,71.43,71.76,736100,70.7475
2015-07-22,70.94,71.54,70.74,71.20,631800,70.1954
2015-07-21,70.75,71.70,70.56,71.20,818100,70.1954
2015-07-20,71.18,71.71,70.39,70.45,709300,69.456
2015-07-17,71.76,71.88,70.80,70.89,757100,69.8898
2015-07-16,70.39,71.72,70.20,71.60,952200,70.5898
2015-07-15,70.00,70.37,69.70,70.02,666800,69.0321
2015-07-14,70.10,70.63,69.15,69.78,654000,68.7954
2015-07-13,69.44,70.37,69.16,70.00,1037800,69.0123
